[2025-04-23 21:43:46] 提交答案: quiz_id=None, question_index=0, selected_option=选项A, selected_index=0[2025-04-24 03:32:07] 提交答案: quiz_id=163582f0-b391-43b5-b76c-d26f85b1e5be, question_index=0, selected_option=选项B, selected_index=1
[2025-04-24 03:32:09] 提交答案: quiz_id=163582f0-b391-43b5-b76c-d26f85b1e5be, question_index=1, selected_option=选项C, selected_index=2
[2025-04-24 12:36:05] 提交答案: quiz_id=c3500671-6634-481c-bc6c-ca83018bcb17, question_index=5, selected_option=选项A, selected_index=0
[2025-04-24 12:36:06] 提交答案: quiz_id=c3500671-6634-481c-bc6c-ca83018bcb17, question_index=6, selected_option=选项D, selected_index=3
[2025-04-24 12:36:57] 提交答案: quiz_id=447893e2-09e2-4858-aa10-d7fe3301e39a, question_index=0, selected_option=选项A, selected_index=0
[2025-04-24 12:36:57] 提交答案: quiz_id=447893e2-09e2-4858-aa10-d7fe3301e39a, question_index=1, selected_option=选项D, selected_index=3
[2025-04-24 12:36:58] 提交答案: quiz_id=447893e2-09e2-4858-aa10-d7fe3301e39a, question_index=2, selected_option=选项C, selected_index=2
[2025-04-24 12:36:59] 提交答案: quiz_id=447893e2-09e2-4858-aa10-d7fe3301e39a, question_index=3, selected_option=选项D, selected_index=3
[2025-04-24 12:37:00] 提交答案: quiz_id=447893e2-09e2-4858-aa10-d7fe3301e39a, question_index=4, selected_option=选项C, selected_index=2
[2025-04-24 12:37:01] 提交答案: quiz_id=447893e2-09e2-4858-aa10-d7fe3301e39a, question_index=5, selected_option=选项D, selected_index=3
[2025-04-24 12:37:02] 提交答案: quiz_id=447893e2-09e2-4858-aa10-d7fe3301e39a, question_index=6, selected_option=选项D, selected_index=3
[2025-04-24 13:12:02] 提交答案: quiz_id=984e499d-a4ac-4448-838f-e5ef26defe14, question_index=0, selected_option=选项A, selected_index=0
[2025-04-24 13:12:03] 提交答案: quiz_id=984e499d-a4ac-4448-838f-e5ef26defe14, question_index=1, selected_option=选项D, selected_index=3
[2025-04-24 13:12:04] 提交答案: quiz_id=984e499d-a4ac-4448-838f-e5ef26defe14, question_index=2, selected_option=选项B, selected_index=1
[2025-04-24 13:12:05] 提交答案: quiz_id=984e499d-a4ac-4448-838f-e5ef26defe14, question_index=3, selected_option=选项C, selected_index=2
[2025-04-24 13:12:06] 提交答案: quiz_id=984e499d-a4ac-4448-838f-e5ef26defe14, question_index=4, selected_option=选项D, selected_index=3
[2025-04-24 13:18:00] 提交答案: quiz_id=50031fde-e227-406f-a440-c1e44df8112b, question_index=0, selected_option=选项A, selected_index=0
[2025-04-24 13:18:33] 提交答案: quiz_id=4ed41c75-9a93-476d-a5d6-109dea83e34a, question_index=0, selected_option=选项B, selected_index=1
[2025-04-24 13:18:34] 提交答案: quiz_id=4ed41c75-9a93-476d-a5d6-109dea83e34a, question_index=1, selected_option=选项A, selected_index=0
[2025-04-24 13:18:36] 提交答案: quiz_id=4ed41c75-9a93-476d-a5d6-109dea83e34a, question_index=2, selected_option=选项D, selected_index=3
[2025-04-24 13:18:37] 提交答案: quiz_id=4ed41c75-9a93-476d-a5d6-109dea83e34a, question_index=3, selected_option=选项B, selected_index=1
[2025-04-24 13:18:38] 提交答案: quiz_id=4ed41c75-9a93-476d-a5d6-109dea83e34a, question_index=4, selected_option=选项A, selected_index=0
[2025-04-24 13:18:51] 提交答案: quiz_id=4ed41c75-9a93-476d-a5d6-109dea83e34a, question_index=0, selected_option=选项C, selected_index=2
[2025-04-24 13:18:54] 提交答案: quiz_id=4ed41c75-9a93-476d-a5d6-109dea83e34a, question_index=1, selected_option=选项D, selected_index=3
[2025-04-24 13:19:13] 提交答案: quiz_id=4ed41c75-9a93-476d-a5d6-109dea83e34a, question_index=0, selected_option=选项A, selected_index=0
[2025-04-24 13:26:53] 提交答案: quiz_id=890c1aff-4ea4-433d-9a1d-bd5abc3ab869, question_index=0, selected_option=选项A, selected_index=0
[2025-04-24 13:26:55] 提交答案: quiz_id=890c1aff-4ea4-433d-9a1d-bd5abc3ab869, question_index=1, selected_option=选项D, selected_index=3
[2025-04-24 13:26:56] 提交答案: quiz_id=890c1aff-4ea4-433d-9a1d-bd5abc3ab869, question_index=2, selected_option=选项B, selected_index=1
[2025-04-24 13:26:57] 提交答案: quiz_id=890c1aff-4ea4-433d-9a1d-bd5abc3ab869, question_index=3, selected_option=选项A, selected_index=0
[2025-04-24 13:26:58] 提交答案: quiz_id=890c1aff-4ea4-433d-9a1d-bd5abc3ab869, question_index=4, selected_option=选项C, selected_index=2
[2025-04-24 13:27:00] 提交答案: quiz_id=890c1aff-4ea4-433d-9a1d-bd5abc3ab869, question_index=5, selected_option=选项D, selected_index=3
[2025-04-24 13:27:01] 提交答案: quiz_id=890c1aff-4ea4-433d-9a1d-bd5abc3ab869, question_index=6, selected_option=选项B, selected_index=1
[2025-04-24 13:31:12] 提交答案: quiz_id=362d3ea1-2a31-48fc-9549-0e40877fde8a, question_index=0, selected_option=选项A, selected_index=0
[2025-04-24 13:31:14] 提交答案: quiz_id=362d3ea1-2a31-48fc-9549-0e40877fde8a, question_index=0, selected_option=选项D, selected_index=3
[2025-04-24 13:31:16] 提交答案: quiz_id=362d3ea1-2a31-48fc-9549-0e40877fde8a, question_index=0, selected_option=选项B, selected_index=1
[2025-04-24 13:31:17] 提交答案: quiz_id=362d3ea1-2a31-48fc-9549-0e40877fde8a, question_index=0, selected_option=选项A, selected_index=0
[2025-04-24 13:31:19] 提交答案: quiz_id=362d3ea1-2a31-48fc-9549-0e40877fde8a, question_index=0, selected_option=选项C, selected_index=2
[2025-04-24 13:31:20] 提交答案: quiz_id=362d3ea1-2a31-48fc-9549-0e40877fde8a, question_index=0, selected_option=选项D, selected_index=3
[2025-04-24 13:40:25] 提交答案: quiz_id=72afee9d-97f7-49b0-94b5-1dcd9e38ff46, question_index=0, selected_option=选项A, selected_index=0
[2025-04-24 13:40:26] 提交答案: quiz_id=72afee9d-97f7-49b0-94b5-1dcd9e38ff46, question_index=0, selected_option=选项B, selected_index=1
[2025-04-24 13:40:27] 提交答案: quiz_id=72afee9d-97f7-49b0-94b5-1dcd9e38ff46, question_index=0, selected_option=选项D, selected_index=3
[2025-04-24 13:40:28] 提交答案: quiz_id=72afee9d-97f7-49b0-94b5-1dcd9e38ff46, question_index=0, selected_option=选项C, selected_index=2
[2025-04-24 13:52:02] 提交答案: quiz_id=cde7dd7d-b5c9-4b09-b5fa-6dab992e6953, question_index=0, selected_option=选项B, selected_index=1
[2025-04-24 13:52:03] 提交答案: quiz_id=cde7dd7d-b5c9-4b09-b5fa-6dab992e6953, question_index=0, selected_option=选项A, selected_index=0
[2025-04-24 13:52:04] 提交答案: quiz_id=cde7dd7d-b5c9-4b09-b5fa-6dab992e6953, question_index=0, selected_option=选项C, selected_index=2
[2025-04-24 13:52:04] 提交答案: quiz_id=cde7dd7d-b5c9-4b09-b5fa-6dab992e6953, question_index=0, selected_option=选项D, selected_index=3
[2025-04-24 13:52:06] 提交答案: quiz_id=cde7dd7d-b5c9-4b09-b5fa-6dab992e6953, question_index=0, selected_option=选项B, selected_index=1
